"","index","semester","type","course","pre_post","si1","si2","si3","si4","si5","science_id_ave","cm1","cm2","cm3","cm4","cm5","career_mot_ave","im1","im2","im3","im4","im5","intrinsic_mot_ave","sd1","sd2","sd3","sd4","sd5","self_determition_ave","se1","se2","se3","se4","se5","self_efficacy_ave","gm1","gm2","gm3","gm4","gm5","grade_mot_ave","overall_sci_mot","sci_comp1","sci_comp2","sci_comp3","sci_comp4","sci_competancy_ave","per_comm_orient1","per_comm_orient2","per_comm_orient3","per_comm_orient4","persol_comm_orient_ave","sci_comm_orient1","sci_comm_orient2","sci_comm_orient3","sci_comm_orient4","sci_comm_orient_ave","resilience1","resilience2","resilience3","resilience4","resilience_ave","major","career","gender","ethnicity","parents_grad_college","dependents","med_condition","med_condition_dependent"
"71",71,"Fall 2021","Major","BIOL1610","Pre",1,1,1,1,1,1,1,3,4,4,5,3.4,5,4,3,4,3,3.8,3,4,3,3,3,3.2,2,1,1,1,1,1.2,4,4,4,4,5,4.2,3.16,1,4,1,4,2.5,6,4,3,2,3.75,3,4,5,5,4.25,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","american_indian","No",0,"No","No"
"72",72,"Fall 2021","Non-Major","BIOL1010","Pre",1,1,1,1,3,1.4,5,5,5,5,4,4.8,3,3,4,4,2,3.2,5,5,5,4,4,4.6,3,4,3,3,3,3.2,5,5,5,5,5,5,4.16,2,2,3,3,2.5,7,7,7,7,7,7,6,6,6,6.25,NA,NA,NA,NA,NA,"Other",NA,"female","white","Yes",0,"No","No"
"73",73,"Fall 2021","Major","BIOL1610","Pre",2,4,4,4,4,3.6,1,1,1,1,1,1,2,2,4,3,2,2.6,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,1.92,3,2,2,3,2.5,5,5,6,5,5.25,4,5,5,4,4.5,NA,NA,NA,NA,NA,"Health_sci","medical_doctor","male","white","Yes",0,"No","No"
"74",74,"Fall 2021","Major","BIOL1610","Pre",3,4,2,2,3,2.8,5,5,5,4,4,4.6,4,3,3,3,4,3.4,3,5,4,3,3,3.6,3,4,3,4,4,3.6,5,5,5,5,3,4.6,3.96,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","white","No",0,"No","No"
"75",75,"Fall 2021","Non-Major","BIOL1010","Pre",1,2,1,1,2,1.4,4,4,4,3,3,3.6,3,3,3,2,1,2.4,2,2,3,2,2,2.2,1,1,1,2,2,1.4,2,3,4,3,2,2.8,2.48,1,1,1,1,1,5,5,6,6,5.5,3,4,3,4,3.5,NA,NA,NA,NA,NA,"Health_sci",NA,"female","white","No",0,"No","No"
"76",76,"Spring 2022","Non-Major","BIOL1010","Pre",3,4,2,3,3,3,1,1,2,2,3,1.8,5,5,4,4,4,4.4,4,5,5,4,4,4.4,4,4,4,4,4,4,5,5,4,5,4,4.6,3.84,2,3,3,3,2.75,6,6,5,5,5.5,5,5,5,5,5,NA,NA,NA,NA,NA,"Health_sci","dentist","male","white","Yes",0,"No","No"
"77",77,"Summer 2021","Major","BIOL1610","Pre",5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1.6,1.12,4,5,5,5,4.75,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,"Health_sci","health_care_pro","female","african_american","No",0,"No","No"
"78",78,"Spring 2022","Non-Major","BIOL1010","Pre",3,4,4,2,4,3.4,3,4,4,5,3,3.8,5,4,4,4,5,4.4,4,5,5,4,5,4.6,5,5,5,5,5,5,5,5,5,5,5,5,4.56,4,2,2,5,3.25,6,7,7,7,6.75,7,7,7,7,7,NA,NA,NA,NA,NA,"Other",NA,"male","white","Yes",0,"No","No"
"79",79,"Fall 2021","Non-Major","BIOL1010","Pre",2,2,2,3,3,2.4,4,3,3,3,2,3,4,4,3,3,3,3.4,4,3,4,4,4,3.8,2,3,2,3,3,2.6,4,4,4,4,3,3.8,3.32,2,2,2,4,2.5,6,6,6,6,6,6,5,5,5,5.25,NA,NA,NA,NA,NA,"Non_STEM","non_stem","female","white","Yes",1,"Yes","No"
"80",80,"Fall 2021","Major","BIOL1610","Pre",2,2,4,2,3,2.6,4,4,4,3,3,3.6,4,4,4,4,3,3.8,3,4,3,3,3,3.2,4,4,4,4,4,4,5,5,5,5,5,5,3.92,2,3,3,3,2.75,5,5,6,6,5.5,4,4,5,5,4.5,NA,NA,NA,NA,NA,"Biology","dentist","female","white","Yes",0,"No","No"
"81",81,"Fall 2021","Non-Major","BIOL1010","Pre",2,2,2,2,3,2.2,2,3,3,2,2,2.4,3,4,4,4,4,3.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.64,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,"Health_sci",NA,"female","white","Yes",0,"No","No"
"82",82,"Summer 2021","Major","BIOL1610","Pre",5,5,5,5,4,4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.2,1.04,3,5,5,5,4.5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,"Other","health_care_pro","female","african_american","No",0,"No","No"
"83",83,"Fall 2021","Major","BIOL1610","Pre",4,4,4,4,3,3.8,5,5,5,5,5,5,4,4,4,3,4,3.8,4,5,5,4,4,4.4,4,4,4,3,3,3.6,5,5,5,5,5,5,4.36,4,4,3,5,4,6,6,6,6,6,5,5,5,6,5.25,NA,NA,NA,NA,NA,"Health_sci","medical_doctor","female","pacific_islander","No",0,NA,"Yes"
"84",84,"Spring 2022","Non-Major","BIOL1010","Pre",4,3,3,3,4,3.4,4,5,5,4,4,4.4,3,3,4,4,3,3.4,3,4,4,3,4,3.6,4,4,4,4,4,4,5,5,5,5,3,4.6,4,2,2,3,4,2.75,7,6,7,7,6.75,7,7,7,7,7,NA,NA,NA,NA,NA,"Non_STEM","non_stem","female","white","No",0,"Yes","No"
"85",85,"Spring 2022","Non-Major","BIOL1010","Pre",3,3,3,1,3,2.6,4,4,4,4,3,3.8,4,4,5,4,3,4,3,4,4,2,3,3.2,4,4,4,4,4,4,5,4,5,5,3,4.4,3.88,2,2,3,3,2.5,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Non_STEM","non_stem","female","white","No",0,"No","No"
"86",86,"Fall 2021","Major","BIOL1610","Pre",3,4,2,4,3,3.2,4,5,4,3,4,4,4,4,3,3,4,3.6,3,5,4,4,4,4,4,5,4,4,4,4.2,5,5,4,4,4,4.4,4.04,3,2,2,4,2.75,5,5,6,5,5.25,3,5,4,4,4,NA,NA,NA,NA,NA,"Health_sci","technician","female","white","Yes",1,"No","No"
"87",87,"Fall 2021","Major","BIOL1610","Pre",4,4,4,3,3,3.6,5,5,5,5,5,5,4,4,4,3,4,3.8,5,4,4,4,4,4.2,4,5,5,5,5,4.8,5,5,5,5,3,4.6,4.48,4,3,4,4,3.75,5,5,6,6,5.5,4,4,5,4,4.25,NA,NA,NA,NA,NA,"Other","medical_doctor","male","white","No",0,"No","No"
"88",88,"Fall 2021","Major","BIOL1610","Pre",4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,4.8,4,5,4,5,4,4.4,4,4,4,4,5,4.2,5,5,5,5,3,4.6,4.6,4,3,3,4,3.5,5,6,6,6,5.75,5,6,6,6,5.75,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","white","Yes",0,"No","No"
"89",89,"Fall 2021","Non-Major","BIOL1010","Pre",2,1,1,1,2,1.4,1,1,1,4,1,1.6,4,4,4,4,4,4,3,4,4,2,4,3.4,4,2,4,2,4,3.2,2,1,4,1,2,2,2.84,1,4,1,5,2.75,6,6,6,7,6.25,7,5,4,5,5.25,NA,NA,NA,NA,NA,"Non_STEM","educator","female","white","Yes",0,"No","No"
"90",90,"Fall 2021","Major","BIOL1610","Pre",4,4,3,4,3,3.6,5,5,5,5,5,5,5,5,5,4,5,4.8,5,4,5,5,4,4.6,4,5,5,5,5,4.8,5,5,5,5,5,5,4.84,4,3,4,5,4,6,5,6,5,5.5,5,6,5,6,5.5,NA,NA,NA,NA,NA,"Biology","dentist","male","white","No",0,"No","No"
"91",91,"Spring 2022","Non-Major","BIOL1010","Pre",4,4,4,4,3,3.8,4,4,3,4,4,3.8,5,4,3,3,5,4,5,5,5,4,4,4.6,4,5,4,3,5,4.2,5,5,4,5,4,4.6,4.24,4,3,3,3,3.25,6,6,7,6,6.25,6,6,7,6,6.25,NA,NA,NA,NA,NA,"Engineering","engineer","male","white","Yes",0,"No","No"
"92",92,"Fall 2021","Major","BIOL1610","Pre",3,4,3,4,3,3.4,4,5,4,4,5,4.4,4,4,3,3,3,3.4,4,4,4,4,4,4,4,5,4,4,4,4.2,4,4,4,4,2,3.6,3.92,3,2,3,3,2.75,4,5,5,4,4.5,3,5,5,5,4.5,NA,NA,NA,NA,NA,"Biology","health_care_pro","male","white","Yes",0,"No","Yes"
"93",93,"Fall 2021","Non-Major","BIOL1010","Pre",3,4,2,1,3,2.6,3,4,4,3,4,3.6,4,4,3,3,3,3.4,3,4,4,2,2,3,3,4,3,4,4,3.6,5,5,5,5,4,4.8,3.68,2,1,2,4,2.25,7,6,7,6,6.5,6,7,7,7,6.75,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","white","Yes",0,"No","No"
"94",94,"Fall 2021","Non-Major","BIOL1010","Pre",3,3,3,2,3,2.8,4,4,4,3,4,3.8,3,4,4,3,4,3.6,2,2,4,2,2,2.4,4,4,4,3,4,3.8,4,4,4,4,4,4,3.52,2,3,3,3,2.75,5,6,6,3,5,7,7,5,7,6.5,NA,NA,NA,NA,NA,"Other",NA,"male","white","Yes",0,"No","No"
"95",95,"Fall 2021","Major","BIOL1610","Pre",1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,3,3,3.2,3,4,4,3,3,3.4,4,5,5,5,4,4.6,3,4,4,4,4,3.8,3.6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,"Other",NA,"male","white","Yes",0,"No","No"
"96",96,"Spring 2022","Non-Major","BIOL1010","Pre",3,4,2,3,3,3,5,5,5,4,3,4.4,4,4,4,4,4,4,4,4,4,3,3,3.6,4,4,4,2,4,3.6,5,5,4,5,4,4.6,4.04,3,2,2,2,2.25,7,6,7,7,6.75,6,6,6,6,6,NA,NA,NA,NA,NA,"Health_sci","dentist","male","white","Yes",0,"No","No"
"97",97,"Fall 2021","Major","BIOL1610","Pre",2,4,1,3,1,2.2,3,5,4,4,4,4,5,5,4,3,4,4.2,3,3,2,3,3,2.8,2,1,2,2,3,2,5,4,5,5,4,4.6,3.52,1,4,2,3,2.5,5,5,6,3,4.75,6,4,5,5,5,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","latinx","No",0,"Yes","No"
"98",98,"Fall 2021","Major","BIOL1610","Pre",4,4,1,1,3,2.6,5,5,5,5,5,5,4,4,2,2,3,3,4,5,5,4,4,4.4,5,5,5,5,5,5,5,5,5,5,5,5,4.48,4,2,3,3,3,2,4,4,5,3.75,3,3,3,3,3,NA,NA,NA,NA,NA,"Health_sci",NA,"male","white","Yes",0,"No","No"
"99",99,"Fall 2021","Major","BIOL1610","Pre",5,5,5,5,4,4.8,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4.8,5,5,5,5,5,5,5,5,5,5,5,5,4.96,5,5,5,5,5,6,5,6,5,5.5,6,6,6,6,6,NA,NA,NA,NA,NA,"Computer_sci","medical_doctor","male","white","Yes",0,"No","No"
"100",100,"Fall 2021","Major","BIOL1610","Pre",4,4,4,5,4,4.2,4,5,5,5,4,4.6,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4.2,4,5,4,4,3,4,4.36,3,4,5,5,4.25,5,4,5,5,4.75,5,5,5,5,5,NA,NA,NA,NA,NA,"Other",NA,"female","white","Unsure",0,"Yes","No"
"101",101,"Spring 2022","Non-Major","BIOL1010","Pre",2,4,3,4,3,3.2,4,5,4,4,5,4.4,5,5,4,4,5,4.6,2,3,4,4,3,3.2,5,5,5,5,5,5,5,5,4,5,4,4.6,4.36,4,3,4,4,3.75,5,5,6,5,5.25,5,5,5,6,5.25,NA,NA,NA,NA,NA,"Non_STEM","non_stem","male","white","Yes",0,"No","No"
"102",102,"Fall 2021","Non-Major","BIOL1010","Pre",3,3,2,1,4,2.6,3,4,4,5,4,4,5,4,3,4,5,4.2,4,5,5,4,5,4.6,4,4,4,4,4,4,5,5,5,5,5,5,4.36,4,3,3,3,3.25,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Other","educator","male","white","No",0,"No","No"
"103",103,"Fall 2021","Major","BIOL1610","Pre",4,2,1,2,4,2.6,3,3,3,4,3,3.2,4,4,4,2,3,3.4,2,4,4,3,3,3.2,4,5,4,4,4,4.2,5,5,5,5,4,4.8,3.76,4,1,2,1,2,4,4,6,5,4.75,5,5,5,5,5,NA,NA,NA,NA,NA,"Computer_sci",NA,"male","biracial","Yes",0,"No","No"
"104",104,"Spring 2022","Non-Major","BIOL1010","Pre",2,2,1,1,3,1.8,4,3,2,2,2,2.6,4,4,4,3,3,3.6,3,3,2,2,3,2.6,3,3,2,4,4,3.2,4,4,5,5,1,3.8,3.16,1,3,1,4,2.25,4,3,5,5,4.25,5,5,5,5,5,NA,NA,NA,NA,NA,"Other",NA,"female","latinx","No",0,"No","No"
"105",105,"Fall 2021","Major","BIOL1610","Pre",3,4,1,4,2,2.8,4,5,5,5,5,4.8,5,4,5,5,4,4.6,4,4,4,4,3,3.8,3,4,3,4,3,3.4,5,5,5,5,3,4.6,4.24,2,2,1,4,2.25,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","latinx","Yes",4,"No","No"
"106",106,"Fall 2021","Major","BIOL1610","Pre",4,2,1,3,2,2.4,5,5,5,5,5,5,5,5,5,4,2,4.2,5,5,5,5,4,4.8,4,4,2,4,4,3.6,5,5,5,5,4,4.8,4.48,2,4,4,4,3.5,6,5,6,5,5.5,6,6,6,6,6,NA,NA,NA,NA,NA,"Biology","scientist","female","white","Yes",0,"No","No"
"107",107,"Spring 2022","Non-Major","BIOL1010","Pre",4,4,3,3,3,3.4,3,3,3,2,3,2.8,5,4,4,4,4,4.2,4,4,4,4,4,4,4,5,4,4,4,4.2,4,5,4,4,4,4.2,3.88,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,"Non_STEM","non_stem","male","white","Yes",0,"No","No"
"108",108,"Fall 2021","Non-Major","BIOL1010","Pre",3,4,2,4,4,3.4,4,4,4,4,4,4,5,5,4,4,5,4.6,4,4,4,3,4,3.8,5,5,5,5,5,5,5,5,5,5,5,5,4.48,4,3,4,4,3.75,6,6,6,6,6,7,7,7,7,7,NA,NA,NA,NA,NA,"Non_STEM","non_stem","male","white","Yes",1,"No","No"
"109",109,"Spring 2022","Non-Major","BIOL1010","Pre",4,5,3,3,3,3.6,4,4,3,4,3,3.6,5,5,4,4,5,4.6,4,4,5,4,5,4.4,5,5,4,5,5,4.8,5,5,5,5,4,4.8,4.44,5,5,4,5,4.75,6,7,6,6,6.25,7,7,7,7,7,NA,NA,NA,NA,NA,"Computer_sci",NA,"male","white","Yes",0,"No","No"
"110",110,"Spring 2022","Non-Major","BIOL1010","Pre",3,4,3,3,4,3.4,3,4,3,4,3,3.4,4,4,3,3,4,3.6,4,5,4,4,5,4.4,5,5,5,5,5,5,4,5,5,5,4,4.6,4.2,1,2,2,2,1.75,5,4,5,5,4.75,5,6,6,5,5.5,NA,NA,NA,NA,NA,"Computer_sci",NA,"male","white","Yes",0,"No","No"
"111",111,"Fall 2021","Major","BIOL1610","Pre",3,3,3,3,2,2.8,5,5,5,5,5,5,4,5,4,4,4,4.2,3,4,4,3,4,3.6,3,4,3,3,3,3.2,5,5,5,5,3,4.6,4.12,2,2,2,2,2,5,5,6,5,5.25,5,3,4,4,4,NA,NA,NA,NA,NA,"Mathematics","health_care_pro","male","white","Yes",0,"No","Yes"
"112",112,"Spring 2022","Non-Major","BIOL1010","Pre",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,"Health_sci","medical_doctor","male","white","Yes",0,"No","No"
"113",113,"Fall 2021","Major","BIOL1610","Pre",2,4,1,2,2,2.2,3,3,3,3,3,3,4,3,3,2,3,3,4,3,4,3,3,3.4,3,4,4,3,2,3.2,5,5,5,5,3,4.6,3.44,2,2,3,3,2.5,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,"Other",NA,"female","biracial","Yes",0,"Yes","No"
"114",114,"Fall 2021","Major","BIOL1610","Pre",3,4,4,3,4,3.6,4,5,5,5,4,4.6,4,4,4,4,2,3.6,3,4,4,3,3,3.4,4,5,5,5,5,4.8,5,5,5,5,5,5,4.28,4,3,4,4,3.75,5,6,6,6,5.75,5,5,4,5,4.75,NA,NA,NA,NA,NA,"Health_sci","medical_doctor","male","white","Yes",0,"No","No"
"115",115,"Fall 2021","Major","BIOL1610","Pre",4,3,3,3,4,3.4,5,5,5,5,5,5,5,4,4,4,4,4.2,5,4,4,4,4,4.2,5,5,5,5,5,5,5,5,5,5,3,4.6,4.6,3,2,4,5,3.5,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Biology","medical_doctor","male","white","Yes",0,"No","No"
"116",116,"Spring 2022","Non-Major","BIOL1010","Pre",2,2,2,2,3,2.2,4,5,5,5,3,4.4,4,4,4,5,4,4.2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,3,4.4,4.2,2,3,3,2,2.5,5,6,6,5,5.5,5,5,5,6,5.25,NA,NA,NA,NA,NA,"Other",NA,"female","white","Yes",0,"No","No"
"117",117,"Spring 2022","Non-Major","BIOL1010","Pre",2,3,3,1,3,2.4,3,4,3,2,2,2.8,4,4,4,3,3,3.6,4,5,5,4,5,4.6,4,5,4,4,4,4.2,5,5,3,5,3,4.2,3.88,2,2,3,3,2.5,5,4,6,6,5.25,6,6,6,6,6,NA,NA,NA,NA,NA,"Other",NA,"female","white","Yes",0,"No","No"
"118",118,"Fall 2021","Major","BIOL1610","Pre",2,4,4,4,3,3.4,1,2,1,1,1,1.2,1,1,1,1,1,1,1,2,1,1,1,1.2,2,1,1,1,1,1.2,1,1,1,1,1,1,1.12,5,2,5,5,4.25,6,6,6,6,6,6,5,5,5,5.25,NA,NA,NA,NA,NA,"Other",NA,"male","white","No",0,"No","No"
"119",119,"Fall 2021","Major","BIOL1610","Pre",5,5,4,5,4,4.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.2,1,1,1,1,1,1,5,5,5,5,3,4.6,1.76,4,5,4,4,4.25,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Health_sci","medical_doctor","male","white","No",0,"No","No"
"120",120,"Fall 2021","Non-Major","BIOL1010","Pre",3,3,2,2,3,2.6,4,4,4,4,4,4,4,3,5,4,4,4,3,3,4,3,3,3.2,4,5,3,2,4,3.6,5,5,3,5,3,4.2,3.8,3,3,3,4,3.25,7,6,7,6,6.5,7,7,7,6,6.75,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","male","white","No",0,"No","No"
"121",121,"Summer 2021","Major","BIOL1610","Pre",4,4,3,3,5,3.8,5,5,5,5,5,5,5,5,5,5,4,4.8,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,3,4.6,4.68,2,4,3,5,3.5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,"Health_sci","health_care_pro","female","white","Yes",1,"Yes","Yes"
"122",122,"Summer 2021","Major","BIOL1610","Pre",4,4,3,3,5,3.8,5,5,5,5,5,5,4,5,4,4,4,4.2,5,5,5,5,5,5,4,5,5,5,5,4.8,5,5,5,5,3,4.6,4.72,2,4,4,5,3.75,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,"Health_sci","health_care_pro","female","white","Yes",1,"Yes","Yes"
"123",123,"Fall 2021","Major","BIOL1610","Pre",3,4,3,4,4,3.6,5,5,5,5,5,5,5,5,4,3,4,4.2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3,4.6,4.36,4,4,4,4,4,5,4,5,5,4.75,5,5,4,5,4.75,NA,NA,NA,NA,NA,"Other","medical_doctor","male","white","Yes",0,NA,"No"
"124",124,"Fall 2021","Non-Major","BIOL1010","Pre",4,3,2,3,3,3,2,4,4,4,3,3.4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5,5,3,4,4,4.2,4.12,4,4,4,4,4,6,6,6,6,6,5,6,6,6,5.75,NA,NA,NA,NA,NA,"Chemistry","dentist","male","white","Unsure",0,"No","No"
"125",125,"Spring 2022","Non-Major","BIOL1010","Pre",3,3,2,2,3,2.6,3,2,2,2,3,2.4,4,4,5,3,4,4,3,2,2,1,2,2,4,1,1,1,2,1.8,5,4,5,5,4,4.6,2.96,3,2,2,5,3,5,6,6,6,5.75,5,6,6,6,5.75,NA,NA,NA,NA,NA,"Non_STEM","non_stem","male","white","Yes",0,"No","No"
"126",126,"Spring 2022","Non-Major","BIOL1010","Pre",2,4,4,4,4,3.6,4,5,4,5,5,4.6,4,5,4,4,5,4.4,3,3,4,4,3,3.4,4,4,4,4,4,4,4,4,5,5,3,4.2,4.12,3,4,5,4,4,5,5,5,5,5,4,6,5,5,5,NA,NA,NA,NA,NA,"Engineering","engineer","male","white","Yes",0,"No","No"
"127",127,"Summer 2021","Major","BIOL1610","Pre",4,4,1,2,3,2.8,4,4,4,4,4,4,4,4,4,4,3,3.8,4,4,3,3,4,3.6,4,4,4,4,4,4,5,5,5,5,5,5,4.08,4,3,2,4,3.25,5,4,6,4,4.75,4,5,6,5,5,3,3,4,5,3.75,"Non_STEM","health_care_pro","female","white","Yes",0,"No","No"
"128",128,"Fall 2021","Major","BIOL1610","Pre",3,1,1,1,3,1.8,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,3,3,4,5,3.8,4,3,5,4,4,4,4.36,2,1,1,1,1.25,4,3,5,5,4.25,6,6,6,6,6,NA,NA,NA,NA,NA,"Computer_sci",NA,"male","white","Yes",0,"Yes","No"
"129",129,"Fall 2021","Major","BIOL1610","Pre",3,4,3,3,3,3.2,4,5,5,5,5,4.8,4,4,4,3,4,3.8,4,4,4,5,4,4.2,5,4,4,4,5,4.4,5,5,5,5,4,4.8,4.4,3,4,2,4,3.25,5,6,6,6,5.75,5,6,5,5,5.25,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","biracial","Yes",0,"No","No"
"130",130,"Fall 2021","Major","BIOL1610","Pre",4,4,3,3,4,3.6,2,1,1,1,2,1.4,2,1,1,2,3,1.8,4,4,4,4,4,4,3,4,3,3,4,3.4,4,4,4,5,5,4.4,3,3,2,2,2,2.25,5,5,6,5,5.25,5,5,5,5,5,NA,NA,NA,NA,NA,"Other",NA,"female","white","No",0,"Yes","No"
"131",131,"Fall 2021","Non-Major","BIOL1010","Pre",4,3,2,2,4,3,4,4,4,5,3,4,5,5,5,5,4,4.8,2,2,2,2,2,2,4,4,3,4,4,3.8,5,4,5,5,3,4.4,3.8,3,1,1,2,1.75,6,6,6,7,6.25,7,6,7,5,6.25,NA,NA,NA,NA,NA,"Other","educator","male","white","Yes",0,"Yes","No"
"132",132,"Spring 2022","Non-Major","BIOL1010","Pre",1,1,1,1,1,1,3,2,2,3,3,2.6,3,3,2,2,2,2.4,3,1,1,2,1,1.6,1,1,1,1,1,1,1,1,1,1,1,1,1.72,3,4,4,4,3.75,5,5,5,5,5,4,6,6,6,5.5,NA,NA,NA,NA,NA,"Other","non_stem","male","white","Yes",0,"No","No"
"133",133,"Fall 2021","Major","BIOL1610","Pre",3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4.2,4,5,4,4,5,4.4,5,4,5,5,3,4.4,4.6,3,4,4,5,4,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Other",NA,"female","white","Yes",0,"No","No"
"134",134,"Fall 2021","Major","BIOL1610","Pre",5,5,4,5,4,4.6,5,5,5,5,5,5,5,5,4,4,5,4.6,4,4,5,4,5,4.4,4,5,5,4,4,4.4,5,5,5,5,4,4.8,4.64,2,3,2,3,2.5,5,5,6,5,5.25,4,4,5,5,4.5,NA,NA,NA,NA,NA,"Biology","medical_doctor","male","white","Yes",0,"No","No"
"135",135,"Fall 2021","Non-Major","BIOL1010","Pre",2,2,1,1,3,1.8,3,4,4,4,4,3.8,3,4,3,3,3,3.2,4,4,3,4,3,3.6,4,4,4,4,5,4.2,4,4,3,3,4,3.6,3.68,4,4,1,4,3.25,4,4,5,5,4.5,6,6,5,6,5.75,NA,NA,NA,NA,NA,"Engineering","engineer","male","asian","Yes",0,"No","No"
"136",136,"Fall 2021","Non-Major","BIOL1010","Pre",3,4,4,3,3,3.4,5,5,5,5,5,5,5,4,4,4,5,4.4,4,4,4,4,4,4,4,5,4,5,5,4.6,5,5,5,5,4,4.8,4.56,3,3,3,4,3.25,5,6,7,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Other","medical_doctor","male","white","Yes",0,"No","No"
"137",137,"Spring 2022","Non-Major","BIOL1010","Pre",4,4,4,3,3,3.6,5,5,5,5,5,5,5,5,4,4,4,4.4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4.8,4.64,2,3,3,4,3,6,6,7,7,6.5,6,7,7,7,6.75,NA,NA,NA,NA,NA,"Non_STEM",NA,"female","pacific_islander","Yes",0,"No","No"
"138",138,"Spring 2022","Non-Major","BIOL1010","Pre",4,4,4,3,3,3.6,3,4,4,4,4,3.8,4,5,5,3,5,4.4,4,4,4,4,4,4,4,5,5,5,5,4.8,5,5,5,5,3,4.6,4.32,3,3,3,2,2.75,5,5,5,5,5,5,5,6,6,5.5,NA,NA,NA,NA,NA,"Other",NA,"female","pacific_islander","Yes",0,"No","No"
"139",139,"Fall 2021","Major","BIOL1610","Pre",4,5,4,5,3,4.2,4,5,5,5,5,4.8,5,4,5,4,4,4.4,4,4,4,4,4,4,4,4,4,4,5,4.2,5,5,5,5,5,5,4.48,4,1,4,4,3.25,4,4,5,4,4.25,4,5,5,4,4.5,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","male","white","Yes",0,"Yes","No"
"140",140,"Fall 2021","Major","BIOL1610","Pre",4,4,3,5,4,4,1,1,2,2,2,1.6,4,3,3,3,4,3.4,4,5,5,4,4,4.4,4,4,4,5,4,4.2,5,5,5,5,4,4.8,3.68,4,1,1,1,1.75,5,6,6,6,5.75,5,5,5,5,5,NA,NA,NA,NA,NA,"Other","medical_doctor","male","white","Yes",0,"No","No"
"141",141,"Fall 2021","Major","BIOL1610","Pre",4,5,4,3,3,3.8,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,5,4,5,4.25,6,4,4,4,4.5,5,5,6,4,5,NA,NA,NA,NA,NA,"Biology","researcher","male","white","Yes",0,"No","No"
"142",142,"Spring 2022","Non-Major","BIOL1010","Pre",3,4,4,4,3,3.6,1,1,1,1,1,1,1,1,2,2,1,1.4,2,2,2,2,2,2,4,5,5,5,5,4.8,4,4,4,4,4,4,2.64,4,3,1,4,3,4,6,6,6,5.5,6,6,6,6,6,NA,NA,NA,NA,NA,"Physics",NA,"male","white","No",0,"No","No"
